MSE: 0.41263481166322785, PSNR: 27.823205396273487
MSE: 0.19843467380215615, PSNR: 39.17120785182512
MSE: 0.13075913552980767, PSNR: 62.3216541924333
MSE: 0.450341177704994, PSNR: 24.25239555934263
MSE: 1.046619674994133, PSNR: 22.020385355681196
MSE: 0.684733212714498, PSNR: 28.04248686908988
MSE: 0.9855364330658083, PSNR: 21.577994489828583
MSE: 0.540287896714435, PSNR: 29.172443322612907
MSE: 0.12632035113876072, PSNR: 65.02258038566707
MSE: 0.14234773733274556, PSNR: 47.883129781157166
MSE: 0.27991283620659624, PSNR: 37.69263409892888
MSE: 0.35270098651792403, PSNR: 31.228883972265805
MSE: 1.2795273631551338, PSNR: 18.91196140775769
MSE: 1.1234628555468151, PSNR: 22.058829386163126
MSE: 1.0872758727233278, PSNR: 24.90527593629305
MSE: 0.3284792356733444, PSNR: 35.777367311525595
MSE: 0.11920107640078986, PSNR: 59.87364810760894
MSE: 0.8812822627902005, PSNR: 20.894370244558353
MSE: 0.4456653338467059, PSNR: 27.21821992597295
MSE: 0.10910247892270575, PSNR: 47.751566662665184
MSE: 0.4419636871282111, PSNR: 29.44995849906485
MSE: 0.26393422542811246, PSNR: 38.542908395827375
MSE: 0.2317434368073316, PSNR: 36.25662474260317
MSE: 0.11929659227459413, PSNR: 44.149311084766445
MSE: 0.13906293747817136, PSNR: 53.94180314831439
MSE: 0.2892865507263, PSNR: 36.32494930335943
MSE: 0.18078383246450447, PSNR: 45.34692810425263
MSE: 0.7786827747243789, PSNR: 26.020021380141415
MSE: 0.7144668866443022, PSNR: 23.638813270102226
MSE: 0.15700786690445948, PSNR: 38.102543363356176
MSE: 0.4304070649779827, PSNR: 31.837485395550672
MSE: 0.3274720497247756, PSNR: 31.749971241965728
MSE: 0.10536324666430427, PSNR: 63.97356570036437
MSE: 0.10149526975426322, PSNR: 69.19461605203561
MSE: 0.10842531910246742, PSNR: 62.442911229004196
MSE: 0.393000824507982, PSNR: 26.983630739075195
MSE: 0.16118922156996485, PSNR: 46.44224225339989
MSE: 0.1100352105372683, PSNR: 60.00298521821538
MSE: 0.9065700510703538, PSNR: 25.48251055253602
MSE: 0.23676289378955467, PSNR: 33.54137530147228
MSE: 0.12118321340536332, PSNR: 65.92513577747825
MSE: 1.2134727024379433, PSNR: 14.844971528288184
MSE: 0.3473500252208714, PSNR: 31.127532726443853
MSE: 0.1018176743729584, PSNR: 68.76076246418042
MSE: 0.12509010775135335, PSNR: 57.99156690626282
MSE: 0.8478241139614388, PSNR: 27.835887237343062
MSE: 1.129764560443986, PSNR: 28.197318150871553
MSE: 1.1637949601975233, PSNR: 22.896753583657343
MSE: 0.15359221165809073, PSNR: 43.01576437504194
MSE: 1.2189138787579918, PSNR: 21.196013875295012
MSE: 1.211903665009664, PSNR: 26.439567654164566
MSE: 0.1926950668120658, PSNR: 38.69557771943641
MSE: 1.6002490253712978, PSNR: 17.93554439951204
MSE: 1.8551312511262172, PSNR: 18.050526306140423
MSE: 0.11536222637770241, PSNR: 60.79085475825568
MSE: 1.1117515435369092, PSNR: 24.677769551889106
MSE: 0.8983474381479197, PSNR: 25.21910883719292
MSE: 1.0691145893870129, PSNR: 23.165456731069142
MSE: 0.986181311154329, PSNR: 20.392848203078103
MSE: 0.6420432713403826, PSNR: 25.706711636670786
MSE: 0.26504510369308554, PSNR: 35.28678363960349
MSE: 0.39563387242412523, PSNR: 24.93371313777363
MSE: 0.6346456164901867, PSNR: 20.0962898508082
MSE: 0.518127671443096, PSNR: 18.212597947696487
MSE: 1.0388227135346044, PSNR: 15.541677408046887
MSE: 0.3558765819741527, PSNR: 33.05830884960381
MSE: 0.5255320806772935, PSNR: 21.611306543157877
MSE: 0.3678022277011634, PSNR: 37.339916409367206
MSE: 0.26927687664094035, PSNR: 31.444156225281816
MSE: 0.09992427569771728, PSNR: 66.21910559192776
MSE: 0.21214827157276267, PSNR: 31.559443222492966
MSE: 0.1395069712275866, PSNR: 46.6744002068756
MSE: 0.1236049595557395, PSNR: 58.768287799718934
MSE: 0.1149220329192129, PSNR: 64.41798543140321
MSE: 1.121468752416923, PSNR: 25.54924495683578
MSE: 0.14217903902949516, PSNR: 48.86296484055453
MSE: 0.6571134427814003, PSNR: 22.314916522714142
MSE: 0.1241438119388968, PSNR: 58.722851209951585
MSE: 0.563695965178667, PSNR: 30.969093708958585
MSE: 0.2712713481310044, PSNR: 36.11787748727755
MSE: 0.15732876823682873, PSNR: 46.45124524940806
MSE: 1.4245554662837414, PSNR: 16.572924111733723
MSE: 1.6386688314278295, PSNR: 14.291455029090583
MSE: 0.34911782642226225, PSNR: 30.783018711958604
MSE: 0.1123320975065231, PSNR: 58.40916364099337
MSE: 0.11572568844754876, PSNR: 64.85250372178344
MSE: 0.4126422206181761, PSNR: 27.025074070545436
MSE: 0.3132069673839952, PSNR: 31.33442398525527
MSE: 0.3020653335855963, PSNR: 36.599751519137435
MSE: 0.21261244135598664, PSNR: 40.62354709083054
MSE: 0.12688259514614675, PSNR: 56.65168257178618
MSE: 0.6345525321784794, PSNR: 29.591120004895124
MSE: 0.6067435749088287, PSNR: 26.073258076469486
MSE: 0.11373647015924232, PSNR: 64.54859797468677
MSE: 0.10181812784407257, PSNR: 62.68428721423808
MSE: 0.5476397191567997, PSNR: 22.83898075938189
MSE: 0.7626552014562213, PSNR: 14.686747533545075
MSE: 0.2655320953231254, PSNR: 24.950936156511535
MSE: 0.12059048996867551, PSNR: 66.96224086083488
MSE: 0.12342632865528076, PSNR: 64.3560789821031
MSE: 1.0012911347491196, PSNR: 18.658067232358075
MSE: 1.308794706876812, PSNR: 16.67751853831286
MSE: 0.8146668810081082, PSNR: 27.28800197967143
MSE: 0.19232145433350747, PSNR: 40.92100650016321
MSE: 0.7474777794902514, PSNR: 22.708844448865058
MSE: 0.12902441489787592, PSNR: 63.48848443360239
MSE: 0.11129304363191504, PSNR: 60.49079543036879
MSE: 0.11511008637176186, PSNR: 66.20148570540584
MSE: 0.10363725745182795, PSNR: 60.500561333502354
MSE: 0.11470284388477228, PSNR: 65.3690626444997
MSE: 0.3451899689419237, PSNR: 19.587760608198476
MSE: 0.18230775017571046, PSNR: 27.778403169561088
MSE: 0.11005242938561174, PSNR: 49.7130446271045
MSE: 0.14065934340124914, PSNR: 47.27471779954571
MSE: 0.09960028801930676, PSNR: 56.820931343039575
MSE: 0.10084700734384446, PSNR: 52.63248535542615
MSE: 0.09180018114096468, PSNR: 37.84628481218895
MSE: 0.09311907591138008, PSNR: 53.36795327087663
MSE: 0.1269534769260372, PSNR: 61.534889459376096
MSE: 0.12274591345340508, PSNR: 64.74112356676193
MSE: 0.10861540358907991, PSNR: 59.542167308025114
MSE: 0.10876498645241663, PSNR: 66.4291992339309
MSE: 0.1186673652002338, PSNR: 59.04657697525052
MSE: 0.13637784744636086, PSNR: 46.20524617637927
MSE: 0.5183167481153282, PSNR: 19.16569937451001
MSE: 0.191299316122183, PSNR: 40.59374975424535
MSE: 0.12691160416230518, PSNR: 53.33103392922598
MSE: 0.13073327462651788, PSNR: 63.08126879228028
MSE: 0.1391653769061191, PSNR: 45.00710524047009
MSE: 0.1963179237641138, PSNR: 38.371210702040706
MSE: 0.14706840571917598, PSNR: 46.20396329870562
MSE: 0.12665976230521123, PSNR: 57.55054323788097
MSE: 0.35207554431966964, PSNR: 20.96443315618594
MSE: 0.13761333118475017, PSNR: 46.52897593959514
MSE: 0.12250923538435701, PSNR: 62.21315405366897
MSE: 0.22082955203199217, PSNR: 38.174539954691475
MSE: 0.14466975454144224, PSNR: 50.16554462118404
MSE: 0.1314779795512635, PSNR: 48.059907624234405
MSE: 0.10656638270581043, PSNR: 69.14080187176658
MSE: 0.12095044072122191, PSNR: 63.45130875344684
MSE: 0.13355395988257282, PSNR: 46.89800081170532
MSE: 0.1350112515537751, PSNR: 48.72028008289111
MSE: 0.1174502209640598, PSNR: 63.570612943256776
MSE: 0.11889368704419905, PSNR: 56.35821025966447
MSE: 0.11243327255831873, PSNR: 61.08504560491713
MSE: 0.19267486022669736, PSNR: 45.25429910975983
