MSE: 0.20310345512327516, PSNR: 44.30043102044532
MSE: 0.23392953232031202, PSNR: 43.43400099160731
MSE: 0.1008386375484785, PSNR: 36.033419473938174
MSE: 0.2765942566637878, PSNR: 47.50984297749035
MSE: 0.2774797493056757, PSNR: 46.68510167363388
MSE: 0.11919601588235389, PSNR: 47.91693468762272
MSE: 0.20455816888452039, PSNR: 44.73128905061483
MSE: 0.24608944253672085, PSNR: 51.09676018817471
MSE: 0.28946125677772605, PSNR: 43.48021942892487
MSE: 0.11961347102765113, PSNR: 41.78305819588307
MSE: 0.44721908877836214, PSNR: 39.37281955109278
MSE: 0.3809437557370968, PSNR: 42.2371076586976
MSE: 0.32551703589250697, PSNR: 43.96121166297493
MSE: 0.12516998842517282, PSNR: 39.98457131009994
MSE: 0.13756099403307923, PSNR: 43.19505151323517
MSE: 0.11686912757824867, PSNR: 43.80517912376987
MSE: 0.058841270683101875, PSNR: 42.69924593858673
MSE: 0.20047580633058024, PSNR: 42.24903671073679
MSE: 0.2624267507225892, PSNR: 45.82346473310067
MSE: 0.2646876799948772, PSNR: 40.21369353599109
MSE: 0.1835876852929867, PSNR: 43.15097648630648
MSE: 0.16353940004981693, PSNR: 38.850075879959924
MSE: 0.1921987120073457, PSNR: 40.7917025885569
MSE: 0.20693936334646099, PSNR: 40.39156851708509
MSE: 0.16948464245778447, PSNR: 49.66495253938142
MSE: 0.24209663535899015, PSNR: 45.250151075932905
MSE: 0.1664061550686348, PSNR: 48.76418327001298
MSE: 0.19659565420489347, PSNR: 41.90739190302295
MSE: 0.1443447059517874, PSNR: 43.456848168838356
MSE: 0.2205801400743636, PSNR: 46.94106434565717
MSE: 0.26958078269525443, PSNR: 47.547834579131646
MSE: 0.16608150837810204, PSNR: 47.05300671584362
MSE: 0.1907449199439307, PSNR: 50.8109770905741
MSE: 0.3027671454238647, PSNR: 51.120016803455776
MSE: 0.21964902853873247, PSNR: 50.20230827950128
MSE: 0.26424432563456884, PSNR: 45.79377395140921
MSE: 0.22000763765426595, PSNR: 43.19041104210882
MSE: 0.2427633249540992, PSNR: 52.19217701521865
MSE: 0.19003495748509527, PSNR: 42.89696554821462
MSE: 0.16946144779055972, PSNR: 44.659943234406114
MSE: 0.2234973539505136, PSNR: 46.73102278369118
MSE: 0.1517885876776816, PSNR: 39.93871857801732
MSE: 0.22189319617429298, PSNR: 43.55329592464609
MSE: 0.23989611134245062, PSNR: 43.529363223865914
MSE: 0.24540199558521125, PSNR: 46.247059218196334
MSE: 0.19871861591615964, PSNR: 54.155970416711085
MSE: 0.15081576221491447, PSNR: 47.03100285815752
MSE: 0.2298683593340738, PSNR: 49.22810703897186
MSE: 0.11730224881057189, PSNR: 44.48714715517714
MSE: 0.10811451580148233, PSNR: 44.062094753043304
MSE: 0.06737362602310956, PSNR: 48.39706238905905
MSE: 0.15869958379488738, PSNR: 47.432071082566125
MSE: 0.23771602959902038, PSNR: 45.606661628628046
MSE: 0.14088119793421094, PSNR: 47.21581716349607
MSE: 0.23990170996406174, PSNR: 49.89272190000585
MSE: 0.22843364492227566, PSNR: 51.69694954060414
MSE: 0.18855722323429314, PSNR: 44.994033305628925
MSE: 0.2606330045415418, PSNR: 50.4680512351723
MSE: 0.1265527649076319, PSNR: 44.491970925474234
MSE: 0.15451650815010376, PSNR: 40.35225160475504
MSE: 0.1193632011466247, PSNR: 40.287356478022815
MSE: 0.12796548844091798, PSNR: 50.394273959437555
MSE: 0.11629737574500466, PSNR: 45.94711905943805
MSE: 0.10665734831573781, PSNR: 45.359930323744194
MSE: 0.1883541671828281, PSNR: 45.13062105872129
MSE: 0.15408065208053812, PSNR: 46.02932436218183
MSE: 0.14030958319447331, PSNR: 46.07576564132885
MSE: 0.31201828864090014, PSNR: 56.47793787329252
MSE: 0.24066542125834295, PSNR: 49.41446885181232
MSE: 0.1570530440869238, PSNR: 40.0333683388122
MSE: 0.11440234598624252, PSNR: 42.350380264697506
MSE: 0.15461879609059284, PSNR: 47.13495818505181
MSE: 0.1651691775386118, PSNR: 51.13710578366552
MSE: 0.14855938560702933, PSNR: 58.46639061293598
MSE: 0.1780977600325862, PSNR: 47.44626637872038
MSE: 0.10466501728604466, PSNR: 39.322568493061574
MSE: 0.07922261840467479, PSNR: 44.72472901080555
MSE: 0.09860402176805294, PSNR: 45.54520274378696
MSE: 0.2280601086309041, PSNR: 44.43335642870885
MSE: 0.11915235504580869, PSNR: 39.53528110469015
MSE: 0.16956599736048683, PSNR: 42.00215641382048
MSE: 0.13525664012894387, PSNR: 43.800964742908874
MSE: 0.09317584594211827, PSNR: 42.70221142665868
MSE: 0.10665041933880498, PSNR: 38.62183079556621
MSE: 0.16101065477277557, PSNR: 50.107904635558384
MSE: 0.21221503662493252, PSNR: 41.79189881846437
MSE: 0.1343380377373816, PSNR: 46.889596075661316
MSE: 0.20469295421613293, PSNR: 47.264708233908706
MSE: 0.1246351664189664, PSNR: 49.18318103534763
MSE: 0.1035562812218468, PSNR: 41.29900098317507
MSE: 0.08873445089357931, PSNR: 47.11917347588137
MSE: 0.1343864143474716, PSNR: 41.22017926414182
MSE: 0.14932864187256198, PSNR: 46.52995460691293
MSE: 0.2640557496305086, PSNR: 45.04098665433732
MSE: 0.23796954250548039, PSNR: 46.427168188095436
MSE: 0.23963371841337602, PSNR: 42.63486431343422
MSE: 0.09067529434801799, PSNR: 40.50155836662106
MSE: 0.0656519753086093, PSNR: 41.44722833246252
MSE: 0.191374391787867, PSNR: 50.56706156733454
MSE: 0.17176191805316618, PSNR: 48.159617639070746
MSE: 0.10186449839487706, PSNR: 48.803141601249465
MSE: 0.12990673274637243, PSNR: 49.39621328136277
MSE: 0.1329565239906075, PSNR: 45.30004488780811
MSE: 0.11890542092617118, PSNR: 47.654438238163614
MSE: 0.09404249764337662, PSNR: 51.122734614861386
MSE: 0.12733838596140062, PSNR: 41.79905756079275
MSE: 0.1387045159059975, PSNR: 44.9478785078362
MSE: 0.12793426935935492, PSNR: 39.60275697820065
MSE: 0.16061603829963267, PSNR: 47.19498565844364
MSE: 0.16000740097317231, PSNR: 46.053922932044564
MSE: 0.09318061003121943, PSNR: 44.847829566963426
MSE: 0.12697486927007157, PSNR: 43.76677046739612
MSE: 0.13135315509899767, PSNR: 44.09553332737324
MSE: 0.07491917485734743, PSNR: 52.78482708167377
MSE: 0.07302238657250108, PSNR: 53.30872628498105
MSE: 0.0812156123494071, PSNR: 42.245269825997326
MSE: 0.11728976970920309, PSNR: 49.00935378467217
MSE: 0.05834820068132339, PSNR: 49.28216064974566
MSE: 0.0969061423997043, PSNR: 45.669892733746245
MSE: 0.16108015468653067, PSNR: 46.276604367229794
MSE: 0.10794679502201837, PSNR: 46.52961294858707
MSE: 0.07795993127249055, PSNR: 39.86315343744854
MSE: 0.1864204401051811, PSNR: 59.78546843737156
MSE: 0.10567314610110076, PSNR: 46.08523183925834
MSE: 0.07645820513983252, PSNR: 63.640126878749285
MSE: 0.10412746243025599, PSNR: 43.69163157070216
MSE: 0.1786040714597117, PSNR: 41.244572794703764
MSE: 0.17499731481539224, PSNR: 42.36923209959364
MSE: 0.18698356261826046, PSNR: 45.773973878367585
MSE: 0.14201832661457542, PSNR: 44.65657822770824
MSE: 0.18790364134141224, PSNR: 47.12214831842885
MSE: 0.18293570584379637, PSNR: 40.93955814985564
MSE: 0.09015577925881182, PSNR: 51.12529804446207
MSE: 0.22654090518040285, PSNR: 49.61279048059553
MSE: 0.22051746098829228, PSNR: 42.6779748712807
MSE: 0.07570750682777141, PSNR: 42.0164575485071
MSE: 0.15741771406896693, PSNR: 46.0494840962232
MSE: 0.1883515557753896, PSNR: 45.050529011554914
MSE: 0.1814285028442733, PSNR: 45.135403225142326
MSE: 0.14101965298959176, PSNR: 53.18564620096163
MSE: 0.14442819209746013, PSNR: 44.86576076008312
MSE: 0.12071642535141705, PSNR: 43.37851919058578
MSE: 0.10561878102472916, PSNR: 54.16142430755752
MSE: 0.11722709551687722, PSNR: 49.5049294102658
MSE: 0.14825738181052925, PSNR: 43.821928255541394
MSE: 0.19301170131177114, PSNR: 51.335395778173634
MSE: 0.07790629703687789, PSNR: 44.825260591262364
MSE: 0.14021549197098943, PSNR: 52.70416583610104
MSE: 0.09368424517519804, PSNR: 49.80329514857368
MSE: 0.09888141277815546, PSNR: 47.35259958424529
MSE: 0.04914749445382747, PSNR: 46.49902428337103
MSE: 0.11774010628791774, PSNR: 41.68868372532448
MSE: 0.07720806188216556, PSNR: 41.855292335455786
MSE: 0.06616455082358873, PSNR: 39.737181103933004
MSE: 0.14231362266199865, PSNR: 38.74743086200886
MSE: 0.18106967444262612, PSNR: 51.36243733790435
MSE: 0.14053685742925826, PSNR: 42.25217205114796
