MSE: 0.08653273040775629, PSNR: 77.00653099759185
MSE: 0.019133453758059832, PSNR: 42.86271876618136
MSE: 0.039582250088411375, PSNR: 82.41858181917193
MSE: 0.01571971837737119, PSNR: 43.33237829300525
MSE: 0.0187547964871589, PSNR: 58.113928771995106
MSE: 0.06490627712183027, PSNR: 89.03499361849639
MSE: 0.019165947156352416, PSNR: 50.56641361346244
MSE: 0.02615562308429171, PSNR: 55.24823945955676
MSE: 0.018377383920120987, PSNR: 62.25521032704492
MSE: 0.0377943081620295, PSNR: 61.840840669444475
MSE: 0.04557429170303772, PSNR: 57.66766238000352
MSE: 0.0500603317660913, PSNR: 56.55857535451632
MSE: 0.049344044845754526, PSNR: 56.12971033333853
MSE: 0.04932979528096266, PSNR: 53.343698576538905
MSE: 0.047025102049063947, PSNR: 54.93124976831779
MSE: 0.04537395649815631, PSNR: 52.92816410742809
MSE: 0.04898650459515159, PSNR: 61.27661583655977
MSE: 0.04269164848413981, PSNR: 57.373327335324085
MSE: 0.03596068513445404, PSNR: 57.53096104756143
MSE: 0.024579963129755085, PSNR: 53.67789925065254
MSE: 0.01834204290386348, PSNR: 62.35623966663396
MSE: 0.019314366772186023, PSNR: 45.486307369289456
MSE: 0.019661303268217165, PSNR: 44.70741795954115
MSE: 0.01818165183170769, PSNR: 42.02153797548637
MSE: 0.023724351832372554, PSNR: 76.06919712587028
MSE: 0.02199419871416094, PSNR: 54.25663774295068
MSE: 0.023109169710776662, PSNR: 46.00881450723399
MSE: 0.047760686594741704, PSNR: 58.026820564897506
MSE: 0.04149035543892657, PSNR: 61.00022216416393
MSE: 0.08722565184832577, PSNR: 52.02156763901728
MSE: 0.09459405943291603, PSNR: 59.89888121874601
MSE: 0.1037038267406567, PSNR: 55.247523714603695
MSE: 0.0811404703751805, PSNR: 56.25628261578234
MSE: 0.062160450959768916, PSNR: 46.35546575831028
MSE: 0.05086212268143156, PSNR: 51.3003500836964
MSE: 0.03180693990892816, PSNR: 59.559752836979555
MSE: 0.024934272236966166, PSNR: 55.32580861284947
MSE: 0.018699292292325767, PSNR: 51.71356861818452
MSE: 0.04287147043294371, PSNR: 52.17220326364745
MSE: 0.06065162698990457, PSNR: 43.54694514282202
MSE: 0.06127667943415796, PSNR: 74.81351481731
MSE: 0.055025209880845374, PSNR: 41.91394123999635
MSE: 0.05994223459174671, PSNR: 48.87580936948379
MSE: 0.05059327462764962, PSNR: 41.13660290609559
MSE: 0.058894944384677385, PSNR: 45.02290646034059
MSE: 0.055770509042297405, PSNR: 45.82552739755111
MSE: 0.05159217757618522, PSNR: 47.07443004716791
MSE: 0.046995558808016875, PSNR: 50.598334104824765
MSE: 0.03996110334820427, PSNR: 49.09486592577535
MSE: 0.06689822300941037, PSNR: 82.41952399958748
MSE: 0.04521531914674217, PSNR: 56.860668123369095
MSE: 0.04785779610861871, PSNR: 50.79639011978496
MSE: 0.0480248571261896, PSNR: 51.19416524968359
MSE: 0.04590315142573656, PSNR: 61.59435541455557
MSE: 0.04301010614058589, PSNR: 55.86559651917906
MSE: 0.03859363655028737, PSNR: 49.90481466784979
MSE: 0.030380132035284786, PSNR: 47.87505709863438
MSE: 0.05443668122620496, PSNR: 75.10176673383263
MSE: 0.0522292620720155, PSNR: 60.51870084692634
MSE: 0.0458580389472638, PSNR: 73.3470432992385
MSE: 0.04344257208673068, PSNR: 45.512042541933965
MSE: 0.03273046004883878, PSNR: 58.34926482467864
MSE: 0.040431332882150756, PSNR: 43.08927352382383
MSE: 0.04711101038392232, PSNR: 40.40024011006962
MSE: 0.05222963126298513, PSNR: 42.07631888090299
MSE: 0.048494042021578344, PSNR: 43.92972080197022
MSE: 0.037375455282726636, PSNR: 49.64140353300447
MSE: 0.08034072640234337, PSNR: 78.88588849753569
MSE: 0.042432006848010594, PSNR: 44.946832923818164
MSE: 0.04930414650465749, PSNR: 45.18295437585735
MSE: 0.05636136603986869, PSNR: 53.57055369340061
MSE: 0.05475589014462841, PSNR: 58.01342269310885
MSE: 0.0496707096370419, PSNR: 47.18122749587714
MSE: 0.04170319950882919, PSNR: 44.64917854370361
MSE: 0.03591204307204001, PSNR: 51.03571871365101
MSE: 0.03754158967923905, PSNR: 77.61003624307547
MSE: 0.03854386840745131, PSNR: 43.09045597210461
MSE: 0.03909753466575148, PSNR: 37.773611070625385
MSE: 0.0348526207486064, PSNR: 44.19830699882206
MSE: 0.031405024045552274, PSNR: 50.89127313702534
MSE: 0.03204974033839596, PSNR: 62.81066104949245
MSE: 0.07846954678513718, PSNR: 78.53304209247207
MSE: 0.07313589207384885, PSNR: 52.38364109681832
MSE: 0.03490614917475892, PSNR: 46.35410541733669
MSE: 0.04105275518154913, PSNR: 56.4802539348904
MSE: 0.04138774867788931, PSNR: 54.71316969584473
MSE: 0.03420627225865934, PSNR: 56.661029151202385
MSE: 0.06290174114681528, PSNR: 81.34038987836853
MSE: 0.04014588382873808, PSNR: 91.17290749028896
MSE: 0.03323745923001768, PSNR: 47.08564867359272
MSE: 0.033122804856798437, PSNR: 49.5750345626569
MSE: 0.03427716161369847, PSNR: 47.460652597215315
MSE: 0.03223576007059392, PSNR: 46.597318493176275
MSE: 0.06686687827077897, PSNR: 52.56712176066492
MSE: 0.03350325286879449, PSNR: 44.09834873496648
MSE: 0.03887560749913413, PSNR: 49.41466198830629
MSE: 0.052704534796329465, PSNR: 74.62934452875959
MSE: 0.05957553913269797, PSNR: 72.66390007183162
MSE: 0.07944028721167172, PSNR: 53.64280934204703
MSE: 0.04098069942764525, PSNR: 48.1374423888557
MSE: 0.030539816894284748, PSNR: 50.4739791312068
MSE: 0.02712148717427225, PSNR: 54.362119510055926
MSE: 0.037610682049313275, PSNR: 45.90718108339335
MSE: 0.038276271536362774, PSNR: 51.60612052177265
MSE: 0.06577672365241423, PSNR: 51.02112598104789
MSE: 0.04057750245795934, PSNR: 54.165703143435124
MSE: 0.03901852705017215, PSNR: 41.90704337046591
MSE: 0.04888241063866009, PSNR: 46.96308381279569
MSE: 0.05760599559102309, PSNR: 64.75885209482757
MSE: 0.04500541408831793, PSNR: 47.01438078899895
MSE: 0.04176358874958879, PSNR: 40.89530687248903
MSE: 0.039070222629949664, PSNR: 43.68073572136766
MSE: 0.03961734385785245, PSNR: 46.01263317702319
MSE: 0.04588676968462786, PSNR: 46.466155113790805
MSE: 0.03729463617224997, PSNR: 51.04011313255481
MSE: 0.07924416581619924, PSNR: 52.99989639552095
MSE: 0.036698007510418316, PSNR: 48.43658780321868
MSE: 0.04416376686147894, PSNR: 48.40073366519871
MSE: 0.05225988858188542, PSNR: 49.28959860913439
MSE: 0.06452499927810719, PSNR: 49.220197288090446
MSE: 0.055153182912117786, PSNR: 51.32578576583568
MSE: 0.05572216310244491, PSNR: 44.785086699744056
MSE: 0.07113926763152986, PSNR: 49.44459127971409
