MSE: 0.8794521017340682, PSNR: 27.936755070467214
MSE: 0.5909502718707476, PSNR: 38.92842552235246
MSE: 0.07647509487617975, PSNR: 67.42184366910567
MSE: 0.990169551327955, PSNR: 21.516482451720012
MSE: 0.06796127409103571, PSNR: 67.8970772745265
MSE: 0.10753903768206372, PSNR: 61.69569430776711
MSE: 1.3951506490417447, PSNR: 20.25620776747197
MSE: 0.12572918328095442, PSNR: 63.3896328420734
MSE: 0.36296308951842515, PSNR: 37.83303040982887
MSE: 0.12107450760518386, PSNR: 58.161576134176485
MSE: 0.655300723811707, PSNR: 40.247847468790006
MSE: 0.11280252905893956, PSNR: 65.2552150507904
MSE: 0.9875136877998633, PSNR: 15.873418456473235
MSE: 0.4209390269177342, PSNR: 31.857335467940597
MSE: 0.8541405779711737, PSNR: 23.589547761360414
MSE: 1.3832305849579518, PSNR: 20.927464523844314
MSE: 0.12212347925540658, PSNR: 64.56715395593588
MSE: 1.8934709800632092, PSNR: 17.707076613537126
MSE: 1.452437450823423, PSNR: 16.45049589483233
MSE: 0.23091176919804435, PSNR: 45.438469290251014
MSE: 1.2258103002614429, PSNR: 20.01353875787173
MSE: 1.3439141978640607, PSNR: 21.38367685872614
MSE: 1.6103709658724015, PSNR: 23.554206077817582
MSE: 0.7258997725451587, PSNR: 36.334335823397794
MSE: 3.6592366151045765, PSNR: 18.173384904578405
MSE: 2.8055692389857216, PSNR: 15.81449722197048
MSE: 2.345648598128156, PSNR: 14.312991670876979
MSE: 0.2977432156072133, PSNR: 42.60920944751267
MSE: 0.39278715599487213, PSNR: 31.171392037723827
MSE: 0.1481817304752576, PSNR: 42.698510912847915
MSE: 0.1029504878912964, PSNR: 65.82815420122645
MSE: 0.8808182235422011, PSNR: 27.01231929089593
MSE: 1.4239251940824227, PSNR: 23.53471001207896
MSE: 1.5791817260493173, PSNR: 25.060748229883288
MSE: 1.4073676453120443, PSNR: 25.585199595721665
MSE: 1.0579377913212902, PSNR: 32.746156220998984
MSE: 0.9260545510297462, PSNR: 23.448444917128157
MSE: 0.687520647913592, PSNR: 32.41644895811372
MSE: 1.0969276824608245, PSNR: 16.75134431102091
MSE: 1.455138996014693, PSNR: 22.38855984753089
MSE: 0.8002545670890244, PSNR: 25.93820484180079
MSE: 1.1678568332170347, PSNR: 27.513322066670103
MSE: 1.3336929186377184, PSNR: 29.141448259043024
MSE: 1.7820904667342814, PSNR: 18.187544436721197
MSE: 2.4755267826760803, PSNR: 19.22486365933747
MSE: 1.575459958270157, PSNR: 21.661581236021572
MSE: 1.445339219867086, PSNR: 20.604158074809217
MSE: 2.2733545461250184, PSNR: 21.114089142969085
MSE: 2.0528597335025554, PSNR: 18.32781602118564
MSE: 2.069665893296986, PSNR: 23.45401670242925
MSE: 1.8510761427162148, PSNR: 20.81787922132615
MSE: 1.943484657828167, PSNR: 15.337681348944162
MSE: 1.023540455951755, PSNR: 27.30001965183455
MSE: 0.9237485412095874, PSNR: 26.724897535139988
MSE: 1.3944735216800415, PSNR: 21.938625476887303
MSE: 0.9966533749676432, PSNR: 27.857584328100785
MSE: 1.8227162118415399, PSNR: 22.244416180740263
MSE: 1.8996159287326866, PSNR: 22.51410870478045
MSE: 1.684079933114591, PSNR: 21.949814742991848
MSE: 1.2059957101094563, PSNR: 21.254925883264193
MSE: 0.9781057396943821, PSNR: 23.663742634130426
MSE: 1.2692051148116037, PSNR: 21.113139593711217
MSE: 0.548615068987169, PSNR: 33.28916327167676
MSE: 0.42726234782647005, PSNR: 35.46955327579814
MSE: 0.2240350621361725, PSNR: 44.787760660751836
MSE: 0.703125296808565, PSNR: 22.03118113113765
MSE: 1.0820712360875389, PSNR: 20.42230325771083
MSE: 0.48073106865462106, PSNR: 22.17991962140713
MSE: 0.9289753377146978, PSNR: 22.722722792261045
MSE: 0.784868512568346, PSNR: 25.454396512612657
MSE: 1.565489552005652, PSNR: 23.373618672323836
MSE: 2.113483672794279, PSNR: 20.781959221689593
MSE: 0.15114742776686585, PSNR: 45.32421525687709
MSE: 0.19428553257740006, PSNR: 41.300953797103844
MSE: 0.445709616152763, PSNR: 40.11073523842115
MSE: 0.22323291464622083, PSNR: 27.5485911328258
MSE: 0.23290332929693755, PSNR: 38.68778558143938
MSE: 0.13772329805930159, PSNR: 49.07989265040609
MSE: 0.855142894265749, PSNR: 24.620079026464087
MSE: 0.4067035881405315, PSNR: 31.227225544796575
MSE: 0.13943204190266295, PSNR: 44.78335682197232
MSE: 1.674518011591968, PSNR: 18.71511848460334
MSE: 1.5695029039037696, PSNR: 12.416863077417617
MSE: 0.7506349409423526, PSNR: 31.333377839002033
MSE: 0.3173175185440245, PSNR: 36.426526140363855
MSE: 1.4328084600430673, PSNR: 20.418057017620814
MSE: 1.0353972730808398, PSNR: 26.138137206062517
MSE: 0.7044882586538586, PSNR: 24.899248970580864
MSE: 0.8989699903315538, PSNR: 28.184231504118486
MSE: 0.14364342426527135, PSNR: 56.397973168972904
MSE: 0.08717768747278513, PSNR: 65.67443211148807
MSE: 0.15628428206827613, PSNR: 46.70841124307947
MSE: 0.8761397184590339, PSNR: 25.19551881904682
MSE: 0.3166018399915078, PSNR: 36.57634240703905
MSE: 0.5699504061886094, PSNR: 35.589344632002586
MSE: 0.4376409567020967, PSNR: 28.721821996308947
MSE: 0.22926815445731416, PSNR: 40.2621659091744
MSE: 0.1209044199660175, PSNR: 61.97104785794529
MSE: 0.45841595816169867, PSNR: 25.389973448776132
MSE: 1.056703997060502, PSNR: 22.974534762064287
MSE: 0.6913578693302126, PSNR: 29.131454765015064
MSE: 0.9935244779710225, PSNR: 22.51219041527529
MSE: 0.555945986405461, PSNR: 30.192070762170392
MSE: 0.13140887427258832, PSNR: 60.83610172706902
MSE: 0.13928621401985422, PSNR: 50.06448344611282
MSE: 0.3007789931420998, PSNR: 38.75873096125136
MSE: 0.3774772333701833, PSNR: 32.25687696916082
MSE: 1.2849091581965641, PSNR: 19.45488525148398
MSE: 1.1321175853432617, PSNR: 22.786041596569994
MSE: 1.094335567101172, PSNR: 25.681417434592326
MSE: 0.35256511228602294, PSNR: 36.423862157164166
MSE: 0.11899575610772208, PSNR: 61.47966987162113
MSE: 0.8852471521558635, PSNR: 21.60852282073992
MSE: 0.45270305831473645, PSNR: 28.54910799259642
MSE: 0.10862836541292901, PSNR: 48.20339102222751
MSE: 0.44872122204996806, PSNR: 30.682239702201638
MSE: 0.2889786076388501, PSNR: 39.719056074003106
MSE: 0.24592282921623193, PSNR: 37.667130644091465
MSE: 0.11026298286983818, PSNR: 46.27505698171308
MSE: 0.12945807203320436, PSNR: 54.806908503317544
MSE: 0.3072634204353638, PSNR: 37.50253932548951
MSE: 0.2065226727937527, PSNR: 46.16408470102628
MSE: 0.7923113845829015, PSNR: 27.073475933175978
MSE: 0.7303926957836337, PSNR: 24.556538294780598
MSE: 0.18340395082941788, PSNR: 38.545292868852194
MSE: 0.4484594627839934, PSNR: 32.94389121510043
MSE: 0.3443528708270027, PSNR: 33.23816167773541
MSE: 0.0799582496731058, PSNR: 63.88862767155672
MSE: 0.0965046617586739, PSNR: 67.82963041312038
MSE: 0.08714338604936726, PSNR: 69.04963296026261
MSE: 0.39355530511752834, PSNR: 28.206101688283425
MSE: 0.1613457361473333, PSNR: 48.31389438921846
MSE: 0.10699024106860813, PSNR: 56.709460266662035
MSE: 0.9142989021420375, PSNR: 26.35482921173285
MSE: 0.2535390557115106, PSNR: 34.61959641243738
MSE: 0.12112223994270371, PSNR: 63.51121934827155
MSE: 1.214724928672654, PSNR: 15.348383310533563
MSE: 0.3510288568629254, PSNR: 33.06694827758295
MSE: 0.08956714135110493, PSNR: 67.92038595183962
MSE: 0.11666475228284742, PSNR: 58.249737842525576
MSE: 0.8568353812240268, PSNR: 28.777043033529708
MSE: 1.1379642937137762, PSNR: 29.23077284513674
MSE: 1.1682766095973973, PSNR: 24.00252717665831
MSE: 0.17366430958525694, PSNR: 43.909741764850125
MSE: 1.2281358443046217, PSNR: 21.872996737651075
MSE: 1.2206709279695613, PSNR: 27.330852436385534
MSE: 0.22384621157589488, PSNR: 39.485991609705124
MSE: 1.6079276513747836, PSNR: 18.4939597031335
MSE: 1.8589601531258781, PSNR: 18.641278719991767
MSE: 0.11249722340572102, PSNR: 58.75987385315504
MSE: 1.1231534161035963, PSNR: 25.429002191631525
MSE: 0.9042386232832954, PSNR: 26.14209784517463
MSE: 1.079595411679994, PSNR: 24.000198413295223
MSE: 1.001377346395985, PSNR: 20.872175758089853
MSE: 0.6597379957666749, PSNR: 26.618916925890822
MSE: 0.29590506908897746, PSNR: 36.635253776841246
MSE: 0.4005702222151447, PSNR: 25.720797455784812
MSE: 0.6447744095072592, PSNR: 20.912016581165144
