MSE: 0.018012784216644106, PSNR: 88.36252034653387
MSE: 0.023320027974169592, PSNR: 96.93677645641799
MSE: 0.0339648308440149, PSNR: 98.70998923963722
MSE: 0.05045935337563257, PSNR: 97.48663186178763
MSE: 0.03477613736608164, PSNR: 80.00849476576752
MSE: 0.02830721957660244, PSNR: 81.6113206383182
MSE: 0.029179126522292213, PSNR: 88.09110468191298
MSE: 0.029880608932310405, PSNR: 91.97009029821912
MSE: 0.025232265870469298, PSNR: 94.54522996091984
MSE: 0.04244907661101724, PSNR: 82.95789610687851
MSE: 0.025208324234633043, PSNR: 92.85586719059152
MSE: 0.056115957241902055, PSNR: 90.97195135707256
MSE: 0.08139346458813057, PSNR: 85.1469724073054
MSE: 0.07542793883691895, PSNR: 83.52697672809637
MSE: 0.08706038824135945, PSNR: 84.94598993542652
MSE: 0.08738846508936676, PSNR: 89.30028234347722
MSE: 0.08755901310102303, PSNR: 87.3466752745493
MSE: 0.0895573271787153, PSNR: 91.6910747775507
MSE: 0.09449010737060345, PSNR: 94.25151507691317
MSE: 0.10147297880456996, PSNR: 87.32139328070446
MSE: 0.10562165290308254, PSNR: 87.82790192496377
MSE: 0.02364754702845828, PSNR: 93.97624122005115
MSE: 0.0939231778052056, PSNR: 95.49507576816566
MSE: 0.06577799129796709, PSNR: 89.80475298947692
MSE: 0.03767272140906145, PSNR: 100.92341555217574
MSE: 0.022816742336255018, PSNR: 83.94629526640279
MSE: 0.038538300499086124, PSNR: 107.29710948029049
MSE: 0.05010043442294704, PSNR: 105.41051400081714
MSE: 0.02256817959004296, PSNR: 67.24970977380679
MSE: 0.030840851582196606, PSNR: 105.66685770692908
MSE: 0.022471463712313247, PSNR: 63.687962229198604
MSE: 0.022469458670151418, PSNR: 84.65623126321364
MSE: 0.03510496138712748, PSNR: 110.60413791929592
MSE: 0.022483716809330766, PSNR: 76.24767978419287
MSE: 0.020003594160661445, PSNR: 88.24796278450239
MSE: 0.01775888262679757, PSNR: 83.64423289892954
MSE: 0.01768215361236351, PSNR: 96.9910436826402
MSE: 0.019249877757890235, PSNR: 94.0750529082638
MSE: 0.019010989439101803, PSNR: 93.3419072492775
MSE: 0.02152988570422928, PSNR: 84.18604278847235
MSE: 0.022423484767787535, PSNR: 82.90642176562375
MSE: 0.022442013377165476, PSNR: 87.4200107170611
MSE: 0.020670123660725605, PSNR: 86.17449594627976
MSE: 0.019826214581214884, PSNR: 105.244658411536
MSE: 0.019475545139720964, PSNR: 87.93031789782918
MSE: 0.017795161764026117, PSNR: 90.81464074471293
MSE: 0.016222804056042293, PSNR: 92.4425893040054
MSE: 0.014909543372670439, PSNR: 91.23223174635743
MSE: 0.01474294370247354, PSNR: 80.2424137072012
MSE: 0.01566433696427105, PSNR: 82.38799030611334
MSE: 0.01577312738239674, PSNR: 77.91100116261823
MSE: 0.017009488735777258, PSNR: 101.31522672876662
MSE: 0.016802407185712492, PSNR: 82.71908774235364
MSE: 0.01554677262662405, PSNR: 70.83748611458691
MSE: 0.01815976612194088, PSNR: 98.16295549591928
MSE: 0.016362393816494996, PSNR: 90.11896926278622
MSE: 0.030150186414023134, PSNR: 83.76032906208609
MSE: 0.05518407518420394, PSNR: 100.64997455542759
MSE: 0.07512594972972518, PSNR: 82.05531086849592
MSE: 0.06439479110389339, PSNR: 81.22580761663983
MSE: 0.05460281082252716, PSNR: 81.19356597555559
MSE: 0.034057103589655004, PSNR: 78.09646334101494
MSE: 0.018566513883884007, PSNR: 82.9461753856933
MSE: 0.012584229807803287, PSNR: 75.40813956687086
MSE: 0.009649950332450662, PSNR: 60.214787363344485
MSE: 0.01653530415972647, PSNR: 97.92947351695733
MSE: 0.02076359068695567, PSNR: 68.58957923057646
MSE: 0.023749973958684382, PSNR: 91.18144952117056
MSE: 0.021111075077463327, PSNR: 65.17748884201869
MSE: 0.021193877691892564, PSNR: 84.16188474639816
MSE: 0.020370452564756548, PSNR: 63.61447842975453
MSE: 0.0200097611743061, PSNR: 67.62261364125091
MSE: 0.018961697399193695, PSNR: 80.12437850810777
MSE: 0.019034050742678093, PSNR: 70.35471058439987
MSE: 0.01832444405406234, PSNR: 68.06018551905801
MSE: 0.01759599872056917, PSNR: 81.40941153745439
MSE: 0.026357132657167628, PSNR: 118.27212677052758
